open,high,low,close,volume
43.04,43,41.65,41.6999,13919677.0
42.23,43,42.15,42.9199,8870098.0
42.91,42,42.25,42.48,5684272.0
42.7,42,42.15,42.38,6458469.0
42.72,43,42.65,43.33,10166698.0
42.5,43,41.7,42.16,18018077.0
42.25,42,41.335,41.68,10991606.0
41.87,41,39.81,40.29,15941271.0
40.65,40,39.39,39.53,10719068.0
39.9,40,39.295,39.55,10759693.0
38.9,39,38.05,38.85,13536481.0
38.75,39,38.43,39.43,8978315.0
39.49,39,37.63,38.14,11092629.0
37.89,38,36.743,37.18,10422964.0
36.56,38,36.14,37.46,9501866.0
37.7,38,36.5,36.86,9886761.0
36.56,37,35.23,37.18,20757527.0
37.79,38,37.35,37.97,9015766.0
38.14,38,37.27,37.52,6224836.0
37.64,38,37.44,38.12,6176947.0
38.5,39,38.46,39.57,10132481.0
39.98,40,38.79,39.19,9812047.0
39.6,40,39.6,40.66,10902850.0
40.96,41,40.26,40.43,5819609.0
40.4,40,40.03,40.6,6506835.0
40.75,40,39.445,39.51,8155816.0
39.6,40,39.5501,39.85,5773533.0
40.23,40,39.4,39.42,7075596.0
39.55,39,39.07,39.09,5733286.0
39.36,39,38.68,38.99,6457332.0
38.71,39,38.7,39.17,3888975.0
39.1,39,38.36,38.881,6648785.0
39.0,40,38.89,40.5,10934400.0
39.73,39,38.67,39.14,9997418.0
39.37,39,38.36,38.47,12007001.0
38.51,38,37.71,37.85,12070387.0
37.96,38,37.96,38.23,7348230.0
37.63,38,37.38,37.96,9102068.0
37.93,38,37.91,38.58,8111323.0
38.73,39,37.93,38.09,10067719.0
38.09,38,37.63,37.65,8233283.0
37.6,37,36.84,37.07,7954304.0
37.0,38,36.81,37.98,6724333.0
37.92,38,37.04,37.46,6684347.0
37.7,38,37.6,38.05,4556264.0
38.06,38,36.63,36.63,17592703.0
37.0,37,35.44,35.58,10968997.0
35.04,35,34.64,35.33,12149378.0
35.47,36,35.18,36.12,8491863.0
35.88,35,34.865,35.21,10934832.0
35.25,36,35.02,35.93,8515487.0
35.35,35,34.94,35.03,7492228.0
35.05,35,34.34,35.48,10657887.0
34.72,34,33.85,34.39,19453289.0
34.47,35,33.51,33.93,21482153.0
34.66,36,34.61,36.23,15081075.0
36.31,36,34.86,34.93,12794164.0
34.75,35,34.06,34.09,10032531.0
34.53,34,32.6,33.0,22753612.0
33.5,33,31.94,31.98,22639564.0
31.55,32,29.78,30.78,31018666.0
31.07,31,28.1,28.58,34532913.0
29.29,32,29.28,31.51,28145226.0
30.22,32,29.4925,31.69,39941285.0
30.63,33,30.0,32.97,24987103.0
33.88,34,32.81,33.38,16009738.0
34.19,35,34.0009,35.22,13532715.0
36.14,37,36.02,37.85,26347743.0
38.05,38,36.94,37.04,18958406.0
37.43,40,36.8,38.48,33292004.0
38.6,39,38.58,39.82,17834118.0
39.6,40,39.29,39.91,13355207.0
40.11,40,39.75,40.24,12193479.0
40.07,40,39.245,39.94,15784094.0
39.91,40,39.62,40.3,10566622.0
41.1,41,40.8,41.35,13012634.0
41.44,42,41.43,42.0,8446445.0
42.83,43,42.499,42.7,17421198.0
43.32,43,42.09,42.25,11528847.0
42.59,44,42.59,43.14,14477213.0
43.14,43,42.63,43.2,9022642.0
42.5,43,41.675,43.83,13171001.0
44.0,44,43.32,43.44,11053611.0
43.25,43,42.84,43.43,7705263.0
43.54,44,43.4898,44.12,11134963.0
44.0,44,43.665,44.01,8746243.0
43.97,44,43.63,43.69,8691679.0
43.755,45,43.755,45.05,14219440.0
44.83,45,44.04,44.1,11291063.0
43.65,44,43.2,44.16,9431411.0
44.38,44,43.25,43.31,10866472.0
43.72,43,42.78,43.21,9576570.0
43.18,44,43.1,44.15,11563828.0
44.31,45,44.0,44.97,12798776.0
47.0,49,47.0,48.53,21638709.0
49.0,49,47.36,47.88,15151440.0
48.12,48,47.15,47.86,11853928.0
47.74,48,46.925,48.24,8917697.0
49.6,50,49.32,49.65,15233774.0
50.09,51,50.01,51.01,15588179.0
50.44,51,50.15,50.82,16167321.0
49.1,49,47.39,48.31,20575397.0
49.8,50,48.25,48.94,18499976.0
49.8,51,49.65,50.53,15100887.0
51.675,51,49.9,49.97,15364034.0
50.21,51,49.32,50.84,15368535.0
51.01,51,47.68,47.96,22053666.0
48.26,49,46.05,48.8,24779800.0
48.56,50,47.5,50.14,16945321.0
49.67,50,49.1,50.71,26787715.0
51.1,51,50.72,50.84,8872374.0
50.95,51,49.84,50.21,7169796.0
50.66,51,50.35,51.43,5961395.0
51.46,52,51.06,51.955,6841763.0
51.65,53,51.3,52.85,8791483.0
53.0,53,52.83,53.42,8063140.0
53.9,54,53.32,53.63,11063024.0
54.28,54,53.07,53.91,10756705.0
54.37,54,53.34,53.875,11565004.0
54.27,54,52.13,53.04,13772171.0
53.38,53,52.12,53.01,10069816.0
53.48,54,53.25,53.66,9672064.0
53.67,53,51.82,52.02,12351638.0
51.06,51,49.2,49.58,18261336.0
50.12,51,49.46,50.4,12259271.0
49.41,50,48.1,49.41,15684697.0
49.135,50,48.58,49.41,10399684.0
49.38,49,48.27,49.81,12978011.0
51.0,52,49.9345,52.75,15157342.0
52.65,54,51.95,53.67,12882227.0
54.52,55,53.91,55.59,16201053.0
55.4,55,54.8,55.69,9488822.0
55.89,56,54.73,55.45,13353937.0
53.99,54,52.54,52.695,19810717.0
52.79,53,50.3,50.62,17064794.0
51.045,52,50.57,52.24,16618856.0
52.02,52,48.63,49.08,18473105.0
48.58,48,46.21,48.72,22413054.0
47.3,48,46.55,47.5,16678900.0
48.62,49,48.23,49.46,11836762.0
49.46,49,47.6,48.81,9220865.0
48.84,49,47.89,48.145,8650092.0
46.41,47,45.95,46.53,12961897.0
47.4,48,46.9,48.05,9085330.0
48.79,48,47.35,47.59,10060185.0
46.75,48,46.4,47.88,9542801.0
47.53,48,46.65,48.39,9895724.0
48.77,49,47.86,48.01,7260535.0
48.6,49,48.184,49.31,8752743.0
50.78,50,49.59,49.78,11462822.0
49.81,51,49.13,51.02,10537876.0
51.75,52,50.95,51.31,9508679.0
50.29,51,49.36,51.52,13916738.0
51.3,51,49.46,49.73,9577025.0
50.38,50,49.02,49.35,7577294.0
49.0,49,47.85,47.9,9396398.0
48.2,48,47.85,48.31,11482901.0
47.9,49,47.75,48.77,9051248.0
48.85,48,47.98,48.95,6711005.0
49.19,49,47.78,48.395,7041012.0
48.33,48,47.9,47.995,7002303.0
48.05,48,47.58,47.92,7460205.0
47.5,47,46.47,46.735,9337145.0
46.9,47,46.58,47.39,6630302.0
47.57,48,47.56,48.68,7133511.0
